ship_id,ship_type,route_id,month,distance,fuel_type,fuel_consumption,CO2_emissions,weather_conditions,engine_efficiency,estimated_dwt,CII_score,Eff_Flag,fuel intensity,ship_type,dwt
NG001,Oil Service Boat,Warri-Bonny,January,132.26,HFO,3779.77,10625.76,Stormy,92.14,1500,53.55995766,OK,28.58,Oil Service Boat,1500
NG001,Oil Service Boat,Port Harcourt-Lagos,February,128.52,HFO,4461.44,12779.73,Moderate,92.98,1500,66.29178338,OK,34.71,Fishing Trawler,500
NG001,Oil Service Boat,Port Harcourt-Lagos,March,67.3,HFO,1867.73,5353.01,Calm,87.61,1500,53.02634968,OK,27.75,Surfer Boat,50
NG001,Oil Service Boat,Port Harcourt-Lagos,April,71.68,Diesel,2393.51,6506.52,Stormy,87.42,1500,60.51450893,OK,33.39,Tanker Ship,100000
NG001,Oil Service Boat,Lagos-Apapa,May,134.32,HFO,4267.19,11617.03,Calm,85.61,1500,57.65847727,OK,31.77,,
NG001,Oil Service Boat,Port Harcourt-Lagos,June,85.93,Diesel,2342.13,6753.42,Stormy,72.82,1500,52.3947399,LOW,27.26,,
NG001,Oil Service Boat,Warri-Bonny,July,85.67,HFO,2974.79,8498.16,Moderate,93.93,1500,66.13096767,OK,34.72,,
NG001,Oil Service Boat,Warri-Bonny,August,44.81,Diesel,1376.38,3509.56,Moderate,91.1,1500,52.21394034,OK,30.72,,
NG001,Oil Service Boat,Escravos-Lagos,September,116.44,Diesel,3661.75,9423.97,Calm,73.41,1500,53.95608611,LOW,31.45,,
NG001,Oil Service Boat,Lagos-Apapa,October,99.73,HFO,2551.99,6416.66,Moderate,94.68,1500,42.89354591,OK,25.59,,
NG001,Oil Service Boat,Port Harcourt-Lagos,November,149.9,HFO,4014.14,11930.11,Stormy,76.53,1500,53.05808317,OK,26.78,,
NG001,Oil Service Boat,Escravos-Lagos,December,53.21,HFO,1674.21,4671.66,Calm,84.59,1500,58.53110318,OK,31.46,,
NG002,Fishing Trawler,Warri-Bonny,January,92.03,HFO,2222.43,5766.12,Moderate,85.52,500,125.309573,OK,24.15,,
NG002,Fishing Trawler,Escravos-Lagos,February,141.91,HFO,3669.79,10052.39,Calm,83.52,500,141.6727503,OK,25.86,,
NG002,Fishing Trawler,Escravos-Lagos,March,51.65,Diesel,1353.75,3649.81,Calm,74.32,500,141.3285576,LOW,26.21,,
NG002,Fishing Trawler,Lagos-Apapa,April,197.46,Diesel,5695.04,16991.82,Moderate,89.36,500,172.1039198,OK,28.84,,
NG002,Fishing Trawler,Port Harcourt-Lagos,May,72.25,Diesel,1873.13,5427.9,Stormy,78.01,500,150.2532872,OK,25.93,,
NG002,Fishing Trawler,Port Harcourt-Lagos,June,183.15,Diesel,3743.91,9542.8,Calm,80.83,500,104.2074802,OK,20.44,,
NG002,Fishing Trawler,Warri-Bonny,July,160.43,HFO,3626.57,10355.16,Stormy,77.8,500,129.0925637,OK,22.61,,
NG002,Fishing Trawler,Port Harcourt-Lagos,August,121.07,Diesel,2441.62,6537.61,Calm,76.08,500,107.9971917,OK,20.17,,
NG002,Fishing Trawler,Lagos-Apapa,September,193.59,Diesel,5565.57,15355.6,Calm,87.91,500,158.6404256,OK,28.75,,
NG002,Fishing Trawler,Escravos-Lagos,October,144.15,Diesel,3649.72,9225.45,Moderate,83.86,500,127.9979188,OK,25.32,,
